종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
24900,덕양산업,KOSPI,,6280,-120,-1.88,6410,6440,6190,431165,2706747680,2.04508E+11,32564980
263600,덕우전자,KOSDAQ,우량기업부,9290,-330,-3.43,9630,9720,9250,148270,1395286550,1.47993E+11,15930310
194480,데브시스터즈,KOSDAQ,우량기업부,35250,-2600,-6.87,38350,38450,35000,121196,4381264950,4.19657E+11,11905160
348840,데이드림엔터,KONEX,일반기업부,4020,310,8.36,4005,4020,4005,59,237075,3386850000,842500
263800,데이타솔루션,KOSDAQ,중견기업부,5350,-200,-3.6,5560,5570,5250,101922,545851070,86730883000,16211380
199150,데이터스트림즈,KONEX,일반기업부,7140,-20,-0.28,6870,7140,6870,66,467390,30477896820,4268613
206560,덱스터,KOSDAQ,기술성장기업부,8560,-210,-2.39,8720,8870,8530,101853,882836680,2.17524E+11,25411736
261200,덴티스,KOSDAQ,벤처기업부,12270,100,0.82,12210,12340,11980,161322,1959153240,1.81894E+11,14824320
145720,덴티움,KOSPI,,138300,-700,-0.5,139300,140200,137100,36610,5065382300,1.53082E+12,11068830
227420,도부마스크,KONEX,일반기업부,904,0,0,0,0,0,0,0,15577010224,17231206
67990,도이치모터스,KOSDAQ,우량기업부,4930,-50,-1,4960,5000,4895,66867,330027125,1.58655E+11,32181550
2150,도화엔지니어링,KOSPI,,8120,-10,-0.12,8180,8190,8100,46596,378755000,2.73806E+11,33720000
6620,동구바이오제약,KOSDAQ,우량기업부,5400,-50,-0.92,5420,5490,5360,45528,246165350,1.53711E+11,28464992
100130,동국S&C,KOSDAQ,우량기업부,3410,-5,-0.15,3390,3440,3385,79191,269651185,1.94858E+11,57143000
5160,동국산업,KOSDAQ,우량기업부,5880,-30,-0.51,5980,6030,5830,318854,1884224700,3.18958E+11,54244482
460850,동국씨엠,KOSPI,,9010,-190,-2.07,9150,9350,9000,126751,1157010620,2.69387E+11,29898656
75970,동국알앤에스,KOSDAQ,우량기업부,4030,-220,-5.18,4175,4210,4030,381144,1563043070,74152000000,18400000
460860,동국제강,KOSPI,,12450,-140,-1.11,12400,13450,12210,1294480,16460450060,6.1762E+11,49608017
86450,동국제약,KOSDAQ GLOBAL,우량기업부,14010,70,0.5,14030,14160,13780,137500,1928241630,6.22885E+11,44460000
1230,동국홀딩스,KOSPI,,12500,-400,-3.1,12830,12980,12400,170131,2151238680,1.99076E+11,15926064
23450,동남합성,KOSPI,,35050,100,0.29,35900,35950,34600,856,29937450,1.22675E+11,3500000
4140,동방,KOSPI,,1998,-17,-0.84,2015,2040,1993,72521,145447021,95847588468,47971766
99410,동방선기,KOSDAQ,중견기업부,2810,30,1.08,2780,2845,2760,41667,116414420,38050215620,13541002
7590,동방아그로,KOSPI,,6650,-70,-1.04,6720,6720,6610,7836,52353950,90556887050,13617577
5960,동부건설,KOSPI,,6270,-90,-1.42,6360,6410,6240,77493,490310790,1.43425E+11,22874863
5965,동부건설우,KOSPI,,27700,-150,-0.54,27050,27700,27000,199,5403200,6252776400,225732
26960,동서,KOSPI,,18150,-200,-1.09,18480,18480,18060,50123,913273280,1.80956E+12,99700000
2210,동성제약,KOSPI,,5750,-30,-0.52,5800,5810,5700,27366,157284580,1.50081E+11,26100970
102260,동성케미컬,KOSPI,,4730,-15,-0.32,4745,4775,4700,53128,251978820,2.35032E+11,49689728
33500,동성화인텍,KOSDAQ,우량기업부,14760,390,2.71,14410,15000,14370,359009,5300403190,4.42645E+11,29989494
25950,동신건설,KOSDAQ,중견기업부,9950,100,1.02,9880,10000,9620,8546,84196910,83580000000,8400000
