Company,items,industry,description
롯데웰푸드,"껌,캔디,초코,비스켓,빙과",기타 식품 제조업,"기업개요
인적분할로 설립되어 2017년 10월 재상장하였으며 식품 제조, 가공, 판매 및 수입 판매업 등을 주요 사업으로 영위.
주요 제품으로는 빼빼로, 마가렛트, 꼬깔콘 등이 있으며 껌과 초콜릿 분야에서는 자일리톨, 가나와 같은 브랜드로 시장을 선도.
34개사를 종속회사로 두고 있으며 식품제조판매 회사인 Chocolaterie Guylian N.V, Lotte Kolson(Pvt.) Limited 등이 포함되어 있음.
출처 : 에프앤가이드"
마니커,"닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행","도축, 육류 가공 및 저장 처리업","기업개요
동사는 1985년 9월 27일 계육 제품의 생산 및 판매를 목적으로 설립되었으며, 2002년 10월 29일 유가증권시장에 상장함.
최근 사회적인 웰빙 식생활 문화의 흐름에 발맞춰 동사는 다양한 기능성 제품을 개발하는 한편 손쉽고 간편하게 즐길 수 있는 제품 등을 출시하고 있음.
수입개방의 환경 가운데서도 국산 냉장 닭고기와 수입 냉동 닭고기의 질적인 면에서의 차이로인하여 육계산업은 꾸준히 성장할 것으로 예상하고 있음.
출처 : 에프앤가이드"
사조씨푸드,횟감용 참치 및 기타 일반수산물,수산물 가공 및 저장 처리업,"기업개요
동사는 1980년 사조냉장으로 설립되어 수산물 도매업을 시작으로, 현재는 참치 어획에서부터 유통, 수출, 부가식품 개발 및 판매를 책임지는 수산물 가공 유통전문기업임.
횟감용 참치의 국내 가공은 현재 동사를 비롯한 동원산업, 유왕, 정필 등 소수 업체가 전체 시장점유율 90% 이상을 차지하고 있으며, 국내 연간 총 가공 규모는 약 5만톤으로 추산됨.
주요 수출국은 일본이며 북미, 유럽시장으로의 수출 확대에도 노력 중임.
출처 : 에프앤가이드"
삼정펄프,"지류화장지,안면용,위생용 티슈 제조,판매","펄프, 종이 및 판지 제조업","기업개요
동사는 화장지, 위생지, 기타 지류의 제조 및 판매를 주요 사업으로 영위하고 있음.
2008년부터 완제품 활성화 전략으로 제품을 개선하고 2009년 5월에는 ""그루""를 출시하여 고급 제품 시장에서 차별화를 통한 경쟁력을 강화하였음.
안양 부지를 활용한 물류 시스템을 구축함으로써 현재 두 단계의 배송절차를 간소화, 효율화 시켜 일반관리비 등 비용과 시간을 절감하고 있음.
출처 : 에프앤가이드"
샘표식품,간장,기타 식품 제조업,"기업개요
동사는 2016년 7월 1일 샘표로부터 인적분할 되어 식품 제조, 가공 및 판매를 담당하는 식품사업부문을 영위.
간장, 된장, 고추장 등 전통 장류부터 요리에센스 연두, 프리미엄 서양식 폰타나, 원물간식 질러 등 다양한 음식료를 제조, 판매.
'폰타나(fontana)'라는 독립 브랜드를 도입하여 엄선한 원료로 세계 각국의 정통 요리법을 구현, 브랜드 인지도 확대를 통한 매출 증가 추세.
출처 : 에프앤가이드"
우성,"배합사료,Suit-feed(맞춤 TMR(육성우,건유우,착유우) 사료),농후사료,곡류(강피류 등 부산물) 제조,판매/부동산 임대,무역","곡물가공품, 전분 및 전분제품 제조업","기업개요
동사 및 종속기업은 배합사료 전문 업체로 가축용 배합사료 및 양어, 반려동물 사료의 제조, 판매업을 영위하고 있음.
고품질, 친환경 배합사료 제품의 생산 및 고수익형 사업구조 구축을 위해 국내외 유수의 연구기관과의 컨설팅 계약 등을 체결함.
주요 매출경로는 축산업자 및 양식업자 등 사양가와의 직거래로 이루어지며, 대리점 및 농/축협 등을 통해서도 활발한 영업활동이 이루어지고 있음.
출처 : 에프앤가이드"
팜스코,"배합사료 제조,도매","곡물가공품, 전분 및 전분제품 제조업","기업개요
동사는 1999년 10월 1일 자본금 60억원으로 설립되었고, 1999년 10월 25일 한국증권거래소에 시장2부종목으로 상장함.
동사는 주된 사업은 배합사료업을 주업으로 하고 있으며 이 밖에도 신선식품 판매 및 도축업, 육가공, 양돈업, 태양광, 퇴비화 사업 등도 수행중임.
신선식품 사업의 원료돈은 국내에서 조달하고 있으며, 본인이 직접 사육한 가축을 사용하거나 농가에서 사육한 가축을 구매하여 조달하고 있음.
출처 : 에프앤가이드"
해태제과식품,"홈런볼, 오예스, 맛동산, 부라보콘 등",기타 식품 제조업,"기업개요
동사는 제과전문그룹 크라운해태홀딩스에 소속된 계열회사로 식품 제조, 가공, 판매 및 수입 판매하는 종합제과기업임.
제과 제품으로는 홈런볼, 맛동산, 오예스, 에이스 등의 주력제품이 있고 냉동식품으로는 고향만두가 시장에서 높은 점유율을 확보하고 있음.
과자, 냉동식품 등을 생산하며 전국적 영업조직망을 통해 다양한 유통경로로 최종소비자들에게 양질의 제품을 공급하고 해외시장 개척을 통해 글로벌식품회사로 성장 중임.
출처 : 에프앤가이드"
매일유업,"유제품(우유, 분유, 발효유, 치즈, 음료 등)",낙농제품 및 식용빙과류 제조업,"기업개요
2017년 5월 매일유업에서 인적분할 되었으며, 낙농품 및 음료 제조판매/수출입 등을 주요 사업으로 영위.
주요 제품으로는 매일우유, 상하목장 유기농우유, 앱솔루트 명작, 매일바이오, 뼈로가는 칼슘두유 등이 있으며 2023년 3월 말 기준 국내업계 중 최다인 총 17품목의 특수분유를 운영.
백색우유 시장 내 동사의 유기농 제품은 시장점유율 78%로 1위를 견고히 지키고 있음.
출처 : 에프앤가이드"
에스앤디,"일반기능식품소재, 건강기능식품소재",기타 식품 제조업,"기업개요
식품에 기능을 부여하는 일반기능식품소재 및 건강기능식품소재를 생산, 판매하고 있으며, 생활용품 및 화장품에 이용되는 천연물 소재의 연구, 개발로 사업영역을 다각화 하고 있음.
식품GMP, ISO, HACCP, HALAL 등 각 인증기준에 의해 위생적으로 설계된 설비를 바탕으로 기능성식품소재의 연구개발 및 생산·판매를 하고 있음.
주요 사업분야는 일반기능식품소재와 건강기능식품소재로 구분하고 있음.
출처 : 에프앤가이드"
인산가,죽염 및 죽염응용식품,기타 식품 제조업,"기업개요
죽염 및 죽염응용식품 전문 제조·유통 업체로, 오랜 기간 동안 최고 품질의 죽염과 죽염응용식품을 개발, 생산하여 국내외 시장에 공급.
세계 최초로 죽염을 산업화한 기업으로 죽염시장 내에서 1위를 확고히 고수, 죽염 및 죽염응용식품의 대중성 확보를 위해 생활식품과 관련한 제품들을 출시하고 있음.
2017년부터 종합식품 대기업과의 Co-Marketing을 통해 브랜드 홍보 확대 및 유통경로 전용 신제품 개발을 진행.
출처 : 에프앤가이드"
태양,"휴대용 부탄가스, 에어졸캔, 외주수탁품",기타 금속 가공제품 제조업,"기업개요
동사는 관(분사용관, 기타 유사관) 및 가스충전 제조판매업, 무역업 등을 영위할 목적으로 1989년 설립되어, 휴대용 부탄가스 사업과 에어졸 사업을 영위하고 있음.
휴대용 부탄가스 사업은 국내 최대 시장점유율 차지하고 있으며 세계 시장에서도 60% 이상의 점유율을 차지하고 있음.
에어졸은 OEM방식으로 납품하고 있으며, 관계사인 승일과 더불어 국내 1위 점유율을 차지하고 있음.
출처 : 에프앤가이드"
교촌에프앤비,치킨 프랜차이즈,음·식료품 및 담배 도매업,"기업개요
동사의 사업은 크게 치킨 브랜드인 '교촌치킨'의 국내 및 해외 프랜차이즈 업무를 담당하는 국내 프랜차이즈 및 글로벌 사업부문과 커머스/신사업으로 구분할 수 있음.
커머스/신사업부문을 통해 HMR, 소스 등 식품가공 및 유통 시장 확장, 그리고 수제맥주 등 신사업 진출을 도모하고 있음.
글로벌 사업은 미국과 중국에 직영 매장을 운영 중이며 말레이시아, 인도네시아, 태국, 중동 등에는 마스터 프랜차이즈 형태로 진출해 있는 상황임.
출처 : 에프앤가이드"
사조산업,"원양어업(참치,명태,오징어),육가공,참치통조림,장류 제조/냉동냉장 창고운영/부동산 임대/컴퓨터,소프트웨어 개발,도매/팝콘,구운김 도매",어로 어업,"기업개요
동사는 원양어업, 식품, 축산, 레저부문 등의 사업을 영위하고 있으며, 동사를 포함하여 사조씨푸드, 캐슬렉스서울 등 총 8개 법인이 연결 대상법인에 포함됨.
주요 사업영역인 원양사업은 참치연승, 참치선망, 대구저연승사업으로 구분되며, 주요 제품으로 참치, 대구 등이 있음.
참치연승사업은 주로 적도 부근 태평양, 인도양, 대서양, 남부인도양 등에서 횟감용 고급참치를 어획하며, 대부분을 일본으로 수출하여 외화획득에 공헌함.
출처 : 에프앤가이드"
삼양식품,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매",기타 식품 제조업,"기업개요
동사는 1961년 유지공업과 식품도매업을 영위하기 위하여 설립되었으며, 면류, 스낵류, 유제품, 조미소재류 등을 제조하여 판매하고 있음.
국내 최초의 원조라면 삼양라면을 포함한 불닭볶음면, 볶음짜짜로니, 간짬뽕, 나가사끼짬뽕, 쇠고기면, 맛있는라면, 짱구, 사또밥 등 다양한 식품을 생산 판매함.
웰빙트렌드에 맞춰 소비자 건강에 대한 욕구를 충족시키기 위해 우수한 품질의 신제품을 개발함.
출처 : 에프앤가이드"
대주산업,배합사료,동물용 사료 및 조제식품 제조업,"기업개요
1962년 한국축산사료산업의 태동기에 창립하여 50여년간 배합사료 제조업에 전념해온 동사는 1987년 인천에 일산 약520톤 규모의 양축사료 생산공장을 가동.
오랜 노하우로 축적된 제조기술을 바탕으로 우수한 사료 제품을 생산하는 배합사료 전문업체임.
종속회사인 농업회사법인 주식회사 남부팜은 2011년 9월 1일 오리 위탁사육을 목적으로 개설되었으며. 위탁사육농가와 계약을 통하여 사육을 하고 있음.
출처 : 에프앤가이드"
스피어파워,화장품,"펄프, 종이 및 판지 제조업","기업개요
동사는 2005년 설립되었으며, 2015년 KB 제3호 기업인수목적 주식회사와 합병을 통해 코스닥 시장에 상장함.
주요사업으로 AAPE(지방 줄기세포 유래 단백질 추출물) 기반 화장품, 의료기기 등을 공급업을 영위하고 있으며, ""AAPE 홈케어"" 라인 등이 있음.
연결대상 종속회사로 화장품 도소매업을 영위하는 중국소재 한산취국제무역(북경)유한책임공사와 더마베이비가 있음. 더마베이비는 현재 청산절차가 진행중임.
출처 : 에프앤가이드"
