Company,items
KBI메탈,"동ROD, 모터코어"
고려신용정보,"채권추심, 신용조사"
국보디자인,인테리어디자인
뉴보텍,"고강성 PVC DC, HDPE 등"
대성하이텍,"정밀부품, 스위스턴 자동선반, 컴팩트 머시닝센터"
대원,아파트 시행 및 시공
덕신하우징,일체형 데크플레이트 등
비츠로테크,"차단기, 개폐기"
빅텍,전자전시스템 장치류
서암기계공업,"공작기계부품(정밀기어,척),산업기계 제조부동산 임대"
스맥,공작기계 및 산업용로봇제조
아이쓰리시스템,"적외선 영상센서, 엑스레이 영상센서"
에이테크솔루션,"대형정밀금형(가전,자동차용 등)"
오리엔탈정공,선박용 기계제품(크레인 등)
와이엔텍,"사업장폐기물중간및최종처리,전문건설,골재제조"
우원개발,토공사
유일로보틱스,"취출로봇, 사출장비 및 자동화시스템"
이건홀딩스,창호
인화정공,선박엔진부품
제이엠아이,CD복제품
제일전기공업,"PCB Assay, 배선기구, 분전반 등"
티에스아이,"2차전지 장비(믹싱시스템, 믹싱제작품, 믹싱 공사, 코터건조시스템)"
포메탈,"자동차,풍력,방위산업,산업기계,농기계등의 단조부품"
흥국,굴삭기 Roller 및 형단조품
DL건설,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매"
DL이앤씨,토목 건설 사업
HD현대중공업,"선박, 해양플랜트 및 엔진기계 등"
HSD엔진,"대형선박용엔진,내연발전엔진"
LS,"전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매"
LX하우시스,"창호재, 자동차부품 등"
SK,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매"
TYM,"농기계,연초용필터,금속제양식기,철강압연 제조,도매,수출입/신문서적 수출입,판매"
남광토건,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조"
디와이파워,유공압기기 등
쏘카,"카셰어링, 모빌리티 플랫폼 등"
에쓰씨엔지니어링,"기술용역(건축설계) 서비스/화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매"
유니드비티플러스,MDF 등
일신석재,"건축석 제조,도소매/석공예,석공사"
지누스,매트리스 및 가구제품
티웨이홀딩스,"레미콘,콘크리트파일,완구 제조/미니어쳐테마파크 운영"
한국카본,"탄소섬유(카본프리프레그(낚시대,테니스라켓,골프 Shaft,스포츠레저용품)),합성수지,글라스페이퍼,LNG선박용 단열판넬 제조,도매"
화성산업,아파트 건설
SG,"아스콘, 레미콘"
나라엠앤디,"금형,사출 및 판금부품"
다원시스,"핵융합 전원장치, 플라즈마 전원장치, 태양광 CVD 전원장치, 산업용 특수정류기"
대모,"유압브레이커, 특수장비/부품, 퀵커플러 등"
모델솔루션,"하이엔드 프로토타입 제조, 다품종 소량생산 서비스"
비나텍,초고용량 커패시터(슈퍼커패시터)
서한,"건축, 토목"
성광벤드,관이음쇠
수성샐바시온,전동지게차
신진에스엠,표준 플레이트
아스트,항공기용 부품 제조 및 동체 조립
에이치케이,레이저가공 절단기
에이트원,VR기반 교육훈련용솔루션
우리기술,"시스템사업, 정보통신사업"
웰크론한텍,"에너지절감설비,자동화배합설비,환경설비"
유진기업,레미콘
유진로봇,"청소로봇, 완구류외"
일진파워,"열교환기,압력용기"
제룡산업,송배전 금구류 및 합성수지 제품
제이오,"탄소나노튜브, 금속탱크 및 유사용기"
케이엔솔,클린룸 설비
테라사이언스,유압용 관이음쇠
프리엠스,"건설장비용 전장품,제어기"
피앤씨테크,배전자동화단말장치
한양이엔지,반도체배관설비
현대무벡스,"물류자동화, IT서비스"
GS글로벌,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대"
HDC랩스,"기계설비공사, 스마트홈, 지능형 빌딩, SOC, 인테리어, 조경, 시설관리"
HD현대건설기계,"굴삭기, 지게차, 휠로더 등"
HL D&I,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대"
KC코트렐,전기집진기 등
KSS해운,"특수화물해상운송(액화가스,LPG,암모니아,VCM,석유화학제품 등), 선박대여"
LG,지주회사
